a4,a2,3,"['a4', 'a2']",27/11/2023 - 21:56,Accepted
a4,a1,7,"['a4', 'a5', 'b2', 'b3', 'b4', 'c1', 'c2', 'c3', 'c5', 'a1']",27/11/2023 - 21:57,Accepted
a5,a4,2,"['a5', 'a3', 'a4']",28/11/2023 - 00:17,Accepted
